;Index;name;city;min_salary;max_salary;company;published_at;min_experience;max_experience;schedule;employment;description;conditions;requirement;responsibility;key_skills;id;days
0;92;Senior Android Developer;Тюмень;200000.0;290000.0;Тензор;2019-11-15T09:56:52+0300;3;6;Полный день;Полная занятость;"Тензор – крупная российская IT-компания. Наш основной продукт – СБИС – сеть деловых коммуникаций. СБИС объединяет людей и компании, системы управления и учета, бизнес-процессы и документы в одной системе. Мы ищем людей, способных реализовывать крупные проекты от идеи до “продакшна”. Проекты, в которых могут быть занято несколько десятков человек - программисты, проектировщики, тестировщики, релиз-инженеры и тд. В нашу компанию требуется ведущий Android-разработчик. Вам предстоит:  разрабатывать мобильные приложения на базе Android для продуктов компании, которыми пользуется более миллиона клиентов по всей России; проектировать и разрабатывать большие функциональные части приложения с привлечением других программистов.  Мы ждём от Вас:  опыт разработки под Android от 3-х лет; понимание паттернов архитектуры MVP и MVVM; отличное знание Java/Kotlin и Android SDK; опыт работы с Git, Dagger 2, RxJava. знание шаблонов проектирования; опыт параллельного и многопоточного программирования; знание классических алгоритмов и структур данных.  Будет плюсом:  наличие своих проектов на github или аналогичном сайте.  Мы предлагаем:  оформление по ТК РФ; премии от 5 до 20% по итогам работы за месяц; ДМС после года работы в компании; курсы иностранных языков; корпоративные праздники и различные совместные мероприятия, спортивные программы. ";"  оформление по ТК РФ; премии от 5 до 20% по итогам работы за месяц; ДМС после года работы в компании; курсы иностранных языков; корпоративные праздники и различные совместные мероприятия, спортивные программы. ";Опыт разработки под Android от 3-х лет. Понимание паттернов архитектуры MVP и MVVM. Отличное знание Java/Kotlin и Android...;...компании, которыми пользуется более миллиона клиентов по всей России. Проектировать и разрабатывать большие функциональные части приложения с привлечением других <highlighttext>программистов</highlighttext>.;" Java; Kotlin; Android; Android SDK;Git";4;20.0
1;80;Android разработчик;Тюмень;50000.0;200000.0;Сервис заказа такси Максим;2019-11-18T14:25:59+0300;1;3;Полный день;Полная занятость;"Кто мы: - IT-компания, предоставляющая облачные решения в сфере такси. К нашим сервисам подключено большое количество компаний, среди которых как мелкие региональные игроки, так и компании с мировым именем, с сотнями городов и десятками стран присутствия.   Что у нас есть: - сложный высоконагруженный сервис с миллионами пользователей по всему миру и более 12 миллионов установок в Google Play.   Мы хотим найти человека, который: - знает ООП и структуры данных, понимает принципы SOLID; - имеет опыт разработки на Java или Kotlin для Android; - знает Android SDK, понимает архитектуру Android; - имеет опыт работы с Android Studio, Gradle; - знаком с принципами Material Design; - имеет опыт работы с системами контроля версий Git; - работал с SQL базами данных;   Будем большим плюсом, если: - есть опубликованные Android-приложения (Google Play); - есть опыт коммерческой разработки под Android.   Что мы предлагаем: - множество интересных задач, в решении которых вы можете принять полноправное участие; - дружелюбный коллектив профессионалов; - корпоративное обучение; - поездки на it-конференции; - комфортное рабочее место; - компенсацию питания; - бесплатные корпоративные мероприятия (Новый Год, командные выезды и движухи); - уровень заработной платы, который зависит от технических знаний и навыков (регулярные пересмотры при повышении результатов и качества работы).";;Мы хотим найти человека, который: - знает ООП и структуры данных, понимает принципы SOLID. - имеет опыт разработки на Java или Kotlin...;;" Java; Kotlin; Android; Android SDK;Git";12;17.0
2;65;Android Developer (Middle);Тюмень;30000.0;100000.0;Строительный Двор;2019-11-19T09:24:57+0300;0;0;Полный день;Полная занятость;"Строительный Двор - крупнейший поставщик строительных и отделочных материалов с 1993 года!16 городов, 54 розничных магазинов, более 2 000 сотрудников.У нас микросервисная архитектура и agile подход к разработке,нет менеджеров и начальников, у нас есть самоорганизованные команды!Открытость экспериментам и новым инструментам!Мы любим web и у нас всегда есть интересные задачи! Требования:  Высшее / неполное высшее образование (техническое / IT); Знание Java обязательно (Kotlin будет плюсом); Знание архитектурных паттернов MVP, MVVM, Clean Architecture; Опыт работы с SQLite, Realm; Опыт работы с RxJava 2, Retrofit, FireBase, Dagger2; Понимание REST API; Опыт работы с Git.  Будет плюсом:  Наличие публикаций в Google Play Опыт написания Unit и UI тестов  Обязанности:  Развитие и поддержка Android приложений;.  Условия:  Официальная заработная плата, уровень обсуждается на собеседовании; Свободный график работы; Официальное трудоустройство; Современный классный офис со своей столовой; Насыщенная корпоративная жизнь; Дополнительный официальный день отпуска за каждый год работы в компании.  Стань частью нашей команды !Мы ждём твоё резюме!";"  Официальная заработная плата, уровень обсуждается на собеседовании; Свободный график работы; Официальное трудоустройство; Современный классный офис со своей столовой; Насыщенная корпоративная жизнь; Дополнительный официальный день отпуска за каждый год работы в компании.  Стань частью нашей команды !Мы ждём твоё резюме!";Высшее / неполное высшее образование (техническое / IT). Знание Java обязательно (Kotlin будет плюсом). Знание архитектурных паттернов MVP, MVVM, Clean Architecture. ;"Развитие и поддержка Android приложений;.";"Git; SQLite; Java; Kotlin; Realm; RxJava 2; Retrofit; FireBase; Dagger 2; REST API; MVP; MVVM; Clean Architecture";121;16.0
3;80;Android разработчик;Новосибирск;50000.0;100000.0;FullStack;2019-11-20T01:45:26+0300;1;3;Полный день;Полная занятость;"Требуется Android разработчик для работы в команде над мульти-платформенным продуктом (Android, iOS) в сфере горнолыжного спорта. Продукт свой, никакого аутсорса, поэтому самые высокие требования к качеству кода и приложения в целом. Что из себя представляет продукт и остальные детали расскажем на собеседовании.   Основные требования:  Умение писать качественный ООП код; Знание Kotlin либо возможность быстро его освоить; Способность делать оценки и укладываться в них; Android Studio; RxJava; REST.    Не технические требования:  Английский на уровне чтения/понимания без словаря.    Обязанности и задачи:  Разработка; Поддержание стиля и архитектуры кода; Code review.    Условия работы:  40 часовая рабочая неделя в офисе в Новосибирске (гибкий график). Оформление в соответствии с ТК РФ; Оплачиваемые занятия спортом; Оплачиваемое питание; Гибкий график работы. ";;Умение писать качественный ООП код. Знание Kotlin либо возможность быстро его освоить. Способность делать оценки и укладываться в них. ;Разработка. Поддержание стиля и архитектуры кода. Code review.;" Java; Kotlin; Android; Android SDK;Git";125;15.0
4;89;Android Developer (Java/Kotlin);Санкт-Петербург;160000.0;0.0;SPB TV;2019-11-20T12:25:22+0300;1;3;Полный день;Полная занятость;SPB TV - лидер мирового уровня по разработке ОТТ решений, приглашает к сотрудничеству Android / Android TV разработчиков. Мы занимаемся созданием OTT мультимедиа сервисов: онлайн ТВ, онлайн кинотеатры и платформы IoT. У нашего собственного сервиса SPB TV более 25 миллионов пользователей по всему миру. Работая программистом в SPB TV, вы будете видеть результат своей работы на устройствах ваших друзей и родных. Обязанности: Разработка современных мультимедиа приложений для Android и Android TV на всех стадиях - от идеи до конечной реализации. Новая разработка ведется полностью на Kotlin. Что для нас важно:  Общее умение хорошо программировать нам важнее, чем знание конкретной технологии (конкретной технологии мы научим, все равно, они меняются каждые несколько лет). В разработчиках нам важно умение работать самостоятельно, желание самому понимать требования пользователей, навыки хорошей архитектуры кода и умение доводить дело до конца. Отличные знания и опыт разработки под Android на Java и Kotlin Понимание принципов проектирования пользовательских интерфейсов - MVC/MVP/MVVM Знания и опыт TDD будет являться плюсом Нас не столько интересует Ваше образование и диплом, сколько ум и знания  Условия:  Хорошая, полностью белая заработная плата Комфортный офис в 2 минутах от метро Старая Деревня Социальный пакет: ДМС со стоматологией, полная оплата при покупке книг по работе на Amazon, оплата 50% спорта, бесплатные фрукты, закуски, пицца, кофе в офисе Коллектив профессионалов, работающих на этом рынке более 10 лет ;  Хорошая, полностью белая заработная плата Комфортный офис в 2 минутах от метро Старая Деревня Социальный пакет: ДМС со стоматологией, полная оплата при покупке книг по работе на Amazon, оплата 50% спорта, бесплатные фрукты, закуски, пицца, кофе в офисе Коллектив профессионалов, работающих на этом рынке более 10 лет ;В <highlighttext>разработчиках</highlighttext> нам важно умение работать самостоятельно, желание самому понимать требования пользователей, навыки хорошей архитектуры кода и умение доводить дело...;Разработка современных мультимедиа приложений для Android и Android TV на всех стадиях - от идеи до конечной реализации. Новая разработка ведется...;"Java; Kotlin; Android; Android SDK; Rx";353;15.0
5;90;Android разработчик;Екатеринбург;0.0;0.0;СКБ ЛАБ;2019-11-18T12:32:11+0300;1;3;Гибкий график;Полная занятость;SKB_Lab - это передовой IT-проект. Он создан для разработки абсолютно нового интернет-банка и мобильных приложений для него, как для физических, так и для юридических лиц. Если говорить про философию работы, то мы применяем agile подходы. Исходя из этого, можно сказать, что мы гибкие - у каждого есть возможность влиять на принятие решений в проектах! Вся команда, вместе с руководством, находится в офисе в Екатеринбурге, что, несомненно, влияет на скорость принятия решений, и отсутствие бюрократии. Обязанности:  Разработка нового функционала приложений. Написание кода, построение и переработка архитектуры приложения.  Мы ждем от вас:  Опыт нативной разработки для Android от 1 года. Уверенное знание Java, Android SDK. Мы используем: Kotlin, Cicerone, Toothpick, RxJava, Moxy, Retrofit и кое-что еще. Инструменты: YouTrack, Slack, UpSource, Zeplin. Умение работать с системой контроля версий, CI. Знание классических алгоритмов и структур данных. Желателен опыт реализации собственных проектов под Android. Знание любой другой из мобильных платформ приветствуется. Стремление повышать собственный уровень профессиональной квалификации. Знание технического английского языка.  Условия:  Заработная плата, которая будет радовать (уровень дохода зависит от ваших навыков и технических знаний). Премии (не только по итогам года). Даем простор в развитии «профессиональной мускулатуры», предлагая работу вместе с профессионалами. Мы можем доверить вам участие в развитии наших продуктов, возможность предлагать идеи и технологии. Предлагаем возможность участия в мероприятиях для профессионального развития. Конференции, тренинги, учебные курсы. Обустроим для вас удобное рабочее место с современной техникой. Компенсируем занятия спортом. Оплатим паркинг, если вы на машине, а если машины нет, то мы оплатим ваш проезд на общественном транспорте (дадим безлимитную Е-карту) и припаркуем ваш велосипед. Мы располагаемся в отличном офисе с великолепным панорамным видом на город. На кофе-поинте вас всегда будут ждать плюшки и свежий кофе. Мы даже подумали о том, как вы будете расслабляться в офисе: у нас есть зоны релакса, массажист, душ, кикер, аэрохоккей, боксёрская груша и гимнастический станок. Мы отладили все наши процессы таким образом, чтобы вас не тревожили вопросы бюрократии.  Мы ценим:   Тех, кто уважает мнение Заказчика. Тех, кто не боится ответственности. Тех, кто работает на результат. Тех, кто не требует микроменеджмента и постоянного менторства. Тех, кто сказал, что все будет готово в пятницу, и финишировал в четверг вечером. Тех, кто готов делиться своим опытом. Красивый код.  Ждем Вас в нашем офисе! Обсудим больше подробностей.;  Заработная плата, которая будет радовать (уровень дохода зависит от ваших навыков и технических знаний). Премии (не только по итогам года). Даем простор в развитии «профессиональной мускулатуры», предлагая работу вместе с профессионалами. Мы можем доверить вам участие в развитии наших продуктов, возможность предлагать идеи и технологии. Предлагаем возможность участия в мероприятиях для профессионального развития. Конференции, тренинги, учебные курсы. Обустроим для вас удобное рабочее место с современной техникой. Компенсируем занятия спортом. Оплатим паркинг, если вы на машине, а если машины нет, то мы оплатим ваш проезд на общественном транспорте (дадим безлимитную Е-карту) и припаркуем ваш велосипед. Мы располагаемся в отличном офисе с великолепным панорамным видом на город. На кофе-поинте вас всегда будут ждать плюшки и свежий кофе. Мы даже подумали о том, как вы будете расслабляться в офисе: у нас есть зоны релакса, массажист, душ, кикер, аэрохоккей, боксёрская груша и гимнастический станок. Мы отладили все наши процессы таким образом, чтобы вас не тревожили вопросы бюрократии.  Мы ценим:   Тех, кто уважает мнение Заказчика. Тех, кто не боится ответственности. Тех, кто работает на результат. Тех, кто не требует микроменеджмента и постоянного менторства. Тех, кто сказал, что все будет готово в пятницу, и финишировал в четверг вечером. Тех, кто готов делиться своим опытом. Красивый код.  Ждем Вас в нашем офисе! Обсудим больше подробностей.;Опыт нативной разработки для Android от 1 года. Уверенное знание Java, Android SDK. Мы используем: Kotlin, Cicerone, Toothpick, RxJava, Moxy...;Разработка нового функционала приложений. Написание кода, построение и переработка архитектуры приложения.;"Agile Project Management; Обучение персонала; Redmine; Android; Android SDK; Java; kotlin";466;17.0
