;Index;name;min_salary;max_salary;company;published_at;description;requirement;responsibility;key_skills;conditions;id;days;group;city_Екатеринбург;city_Новосибирск;city_Санкт-Петербург;min_experience_0;min_experience_1;min_experience_3;min_experience_6;schedule_Гибкий график;schedule_Полный день;schedule_Сменный график;schedule_Удаленная работа;employment_Полная занятость;employment_Проектная работа;employment_Стажировка;employment_Частичная занятость;Erlang; Elixir; Phoenix;Разрабатывать новые модули на Erlang/Elixir для высоконагруженных сервисов. Поддерживать и дорабатывать текущие модули.;Другие навыки
0;40;Начинающий Erlang/Elixir разработчик;4.0;4.0;FunBox;2019-12-12T12:41:36+0300;"Мы создаем сложные и интересные продукты, состоящие из десятков сервисов. Это и HTTP API endpoint-ы для SPA-сайтов и мобильных приложений, и endpoint-ы для внутренних API, и обработчики данных, и диспетчеры событий. Часть этих сервисов мы разрабатываем на Erlang/Elixir. Мы сами поддерживаем наши продукты, поэтому внимательно относимся к выбору инструментов, поддержке и тестированию. Вам предстоит разрабатывать сервисы с использованием Erlang, Elixir и современного фреймворка Phoenix. Мы рассматриваем кандидатов без production опыта в этих технологиях, но с желанием их освоить и хорошей квалификацией в программировании. От вас потребуется:   постараться хорошо выполнить тестовое задание;   работать в команде;   быть восприимчивым к новым инструментам, методам, подходам;   любить задавать вопросы;   разрабатывать сервисы на Erlang/Elixir в многокомпонентных проектах;   проявлять аккуратность, внимательно относиться к тестированию, как к unit-тестам, так и к интеграционным.   Более конкретная зарплата по результатам собеседования. Бонусы   работа удаленно или в одном из офисов (офисы в Казани, Ульяновске);   адекватное отношение, защита от лишней бюрократии;   бонусная программа при покупке техники;   при работе в одном из наших офисов обеспечиваем стандартным набором офисных благ.  ";Мы рассматриваем кандидатов без production опыта в этих технологиях, но с желанием их освоить и хорошей квалификацией в программировании. ;Мы сами поддерживаем наши продукты, поэтому внимательно относимся к выбору инструментов, поддержке и тестированию. Разрабатывать сервисы на Erlang/Elixir в...;"Erlang; Elixir; Phoenix";;40;0.0;Erlang_Elixir;0;0;1;1;0;0;0;0;1;0;0;1;0;0;0;1.0;1.0;1.0;0.0;0
1;68;Erlang/Elixir developer;3.0;4.0;Adwirk Group;2019-12-12T14:58:49+0300;"Наша компания занимается разработкой и внедрением новых интерактивных форматов рекламы в интернете. В связи с активным развитием продуктовой линейки ищем хорошего человека на позицию Erlang/Elixir developer!  Что нужно делать:   Разрабатывать новые модули на Erlang/Elixir для высоконагруженных сервисов Поддерживать и дорабатывать текущие модули  Что мы от тебя ждём:  Опыт коммерческой разработки на Erlang/OTP (минимум 6 месяцев) Умение писать тесты и документацию к коду Хорошие теоретические знания алгоритмов и структур данных Опыт работы с Git Опыт работы с реляционными БД Опыт работы с no-SQL БД Понимание принципов работы протоколов HTTP, Websocket Технический английский  Будет плюсом:   Опыт разработки на Elixir/Phoenix Опыт разработки API для Web-сервисов  Что мы предлагаем:  Работу в светлом удобном офисе напротив Охта-молла с собственной парковкой; График 5\2 с 11 до 20 часов Комфортную лаундж зону с настольным теннисом + unlimited чай, кофе, вкусняшки и пиццу по пятницам; Достойную заработную плату Дружный молодой коллектив Оформление по ТК РФ, порядочность и лояльность работодателя Реальную возможность карьерного и личностного роста  Ищем сотрудника только в офис в Санкт-Петербурге, не удалённая работа!";;Опыт коммерческой разработки на Erlang/OTP (минимум 6 месяцев). Умение писать тесты и документацию к коду. Хорошие теоретические знания алгоритмов...;Разрабатывать новые модули на Erlang/Elixir для высоконагруженных сервисов. Поддерживать и дорабатывать текущие модули.;"Git; SQL; Базы данных; elixir; phoenix; HTTP; webscoket; Erlang";268;0.0;Erlang_Elixir;0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;0.0;0.0;0.0;1.0;0
